ID,Language_ID,Name,Description,Alternation_Type,Coding_Frames_Text,Complexity
533195783,even1260,Direct Reciprocal,"<SPAN STYLE= """" >A/nom P/acc~X/obl V -&gt; A/nom  V-rec<BR>The reciprocal is coded by the verbal suffix </SPAN><SPAN STYLE= ""font-style:italic;"" >-mat-</SPAN><SPAN STYLE= """" >, and can mark cross-coreferentiality with direct but also (animate) indirect objects.<BR><BR>Furthermore one can distinguish between argument vs. possessive reciprocals; in the second case the cross-coreferentiality holds between the subject and the possessor of an object. Only reciprocals of the argument type are taken into account in grammaticality judgments.<BR><BR>Only a direct reciprocal costruction involving cross-coreferentiality between the subject and the direct object of a transitive verb or an oblique object of a bivalent intransitive is represented here . (For  reciprocals with cross-coreferentiality of a subject with indirect object of a trivalent verb  see Indirect Reciprocal)</SPAN>",Coded,A/nom P/acc V -> A/nom V-rec,
533243101,even1260,Mediopassive,"<SPAN STYLE= """" >A/nom P/acc V -&gt; P/nom V/med<BR>The main functions of the &ldquo;mediopassive&rdquo; marker </SPAN><SPAN STYLE= ""font-style:italic;"" >&ndash;b-/-p-</SPAN><SPAN STYLE= """" > are: a) anticausative; b) agentless passive (&ldquo;quasipassive&rdquo; in Geniu&scaron;iene&rsquo;s terms); c) stative passive; d) &ldquo;middle&rdquo; (alias &lsquo;potential passive&rsquo; or &lsquo;facilitative passive&rsquo;); cf. </SPAN><SPAN STYLE= ""font-style:italic;"" >a</SPAN><SPAN STYLE= ""font-family: 'Tahoma';font-style:italic;"" >&#331;</SPAN><SPAN STYLE= ""font-style:italic;"" >a-b-ta-n</SPAN><SPAN STYLE= """" > [open-MED-AOR-3SG] &lsquo;It opened/was opened/is open/can be opened&rsquo;. <BR><BR>Two syntactic varieties of the mediopassive are a) personal (P-promoting) mediopassive (A is deleted and P is promoted); b) impersonal mediopassive (A is deleted without P being promoted).<BR><BR>Important: the grammaticality judgments are given for personal (promotional) mediopassive (impersonal mediopassive can be in principle applied to any verb in the facilitative ('it is possible to V') sense).</SPAN>",Coded,A/nom P/acc V -> P/nom V/med,
533314134,even1260,Adversative Passive,"<SPAN STYLE= """" >A/nom P/acc V -&gt; P/nom A/dat V.adv<BR>A/nom X/obl V -&gt; X/nom A/dat V.adv<BR>Adversative passive (AdP) is marked with a verbal suffix </SPAN><SPAN STYLE= ""font-style:italic;"" >-v-/-m-,</SPAN><SPAN STYLE= """" > from both transitives and intransitives. It implies that the derived subject in the passive construction is adversely affected. <BR><BR>There are two main syntactic varieties of AdPs: direct passives where a derived subject corresponds to an argument (typically P, but also Goal), and indirect  (or possessive) passives, where the subject corresponds to the possessor of either object P or subject (S). Only direct passives are taken into account in grammaticality judgments, since possessive AdPs can in principle be built on any verb.<BR>Furthermore only verbs naturally associated with an adversative situation are indicated as undergoing this alternation regularly, other verbs with neutral or positive semantics requiring special contexts are indicated as undergoing an alternation marginally.</SPAN>",Coded,A/nom P/acc V -> P/nom A/dat V.adv A/nom X/obl V -> X/nom A/dat V.adv,
594649935,even1260,Reflexive deleting alternation,"<SPAN STYLE= """" >A/nom men-i (self.acc) V -&gt; S/nom V<BR>An alternation of the transitive and intransitive pattern, where the intransitive pattern has a reflexive meaning (like English: wash (himself)).</SPAN>",Uncoded,A/nom men-i (self.acc) V -> S/nom V,
714696331,even1260,Comitative alternation,"<SPAN STYLE= """" >A/nom P/acc V --&gt; A/nom P/com V<BR>The transitive pattern alternates with the intransitive pattern with the counteragent in the comitative case (unless the subject is in the plural).</SPAN>",Uncoded,A/nom P/acc V --> A/nom P/com V,
715238969,even1260,Object deletion,"<SPAN STYLE= """" >A/nom P/acc V --&gt; A/nom V<BR>Deletion of a possibly cognate object.</SPAN>",Uncoded,A/nom P/acc V --> A/nom V,
732865607,even1260,Resultative,"<SPAN STYLE= """" >A/nom P/acc V --&gt; P/nom V.res<BR>A/nom V -&gt; S/nom V.res<BR>The resultative marker </SPAN><SPAN STYLE= ""font-style:italic;"" >&ndash;t-/-&#269;-</SPAN><SPAN STYLE= """" > is used. When applied to intransitives it has the meaning of S-resultative (cf. </SPAN><SPAN STYLE= ""font-style:italic;"" >teg-</SPAN><SPAN STYLE= """" > &lsquo;sit down&rsquo; </SPAN><SPAN STYLE= ""font-family: 'MingLiU';"" >-&gt; </SPAN><SPAN STYLE= """" > </SPAN><SPAN STYLE= ""font-style:italic;"" >tege-t-</SPAN><SPAN STYLE= """" > &lsquo;sit&rsquo;). In this case verbal valency does not change. When applied to transitives it usually has the meaning of P-resultative (stative passive). In some cases it can also have the meaning of an A-resultative, but such uses will be ignored here as it is not found with the verbs on the list.<BR><BR>The resultative forms are formed only with verbs with affected Ps, mostly Ps that change the location/posture.</SPAN>",Coded,A/nom P/acc V --> B/nom V.res A/nom V -> S/nom V.res,
8646445893,even1260,Indirect Reciprocal,"<SPAN STYLE= """" >A/nom P/acc IO/obl V -&gt; A/nom  P/acc V-rec<BR><BR>The reciprocal is coded by the verbal suffix </SPAN><SPAN STYLE= ""font-style:italic;"" >-mat-</SPAN><SPAN STYLE= """" >, and can mark cross-coreferentiality with direct but also (animate) indirect objects.<BR><BR>Furthermore one can distinguish between argument vs. possessive reciprocals; in the second case the cross-coreferentiality holds between the subject and the possessor of an object. Only reciprocals of the argument type are taken into account in grammaticality judgments.<BR><BR>Only a indirect reciprocal costruction involving cross-coreferentiality between the subject and the indirect object is represented here.  (The second argument of a transitive verb does not take part in this alternation, but see Direct Reciprocal)</SPAN>",Coded,A/nom P/acc~X/obl V -> A/nom V-rec,
2710267228,stan1295,Object Omission Alternation,"<SPAN STYLE= """" >The relevant verbs can drop all their arguments appart from the subject and thus, can be used in an intransitive frame. The meaning becomes somewhat generic.</SPAN>",Uncoded,,
2710611180,stan1295,Ambitransitive Alternation (A&gt;S),"<SPAN STYLE= """" >Valency decreasing. The patient of the transitive sentence becomes the single argument of the intransitive sentence. The agent of the transitive sentence is omitted. (This way the verb can be transitive and intransitive.)</SPAN>",Uncoded,,
