ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,contributors,continent,Comment
ainu1240,Ainu (Southern Hokkaido),ainu1240,Hokkaido Ainu,ain,Eurasia,43.0,143.0,Ainu,Anna Bugaeva,Asia,"<SPAN STYLE= """" >A genetic isolate, Ainu shows considerable dialectal variation: Hokkaido (Northeastern and Southwestern), Sakhalin, and Kurile groups. Ainu is agglutinating, polysynthetic and incorporating, with SV/AOV  constituent order. It is predominantly head-marking. Personal pronouns in the subject (A/S) and object (O) position are often omitted: Ainu is a so-called pro-drop language but verbal cross-referencing markers are obligatory.<BR>   Some verbs employ different stems for singular and plural. In the case of intransitive verbs, plurality refers to the number of S referents, while in the case of transitive verbs plurality refers to the number of O or patientive A referents. </SPAN>"
bali1278,Balinese,bali1278,Balinese,ban,Papunesia,-8.36,115.08,Austronesian,Masayoshi Shibatani and Ketut Artawa,Southeast Asia & Australia,
bezh1248,Bezhta,bezh1248,Bezhta,kap,Eurasia,42.12,46.03,Nakh-Daghestanian,Zaira Khalilova and Bernard Comrie,Europe (and Indo-European),
bora1263,Bora,bora1263,Bora,boa,South America,-2.16666666667,-72.3333333333,Boran,Frank Seifart,Americas,"<SPAN STYLE= """" >any noun phrase (argument or adjunct) is always optional (except for subjects with some forms of verbal predicates). It was not possible to apply a test using the sentence frame suggested in the manual to distinguish between arguments and adjuncts. The Bora coding frames given here include all arguments/adjuncts of the pre-defined role frame with the corresponding Bora case marking.<BR>The database includes as coded alternations causative, reflexive and reciprocal derivation, which are all productive. There is a separate derivational system, which is relatively unproductive, which combines transitivity marking and verbal number marking (see examples under SIT). These alternations are not taken into account in this database. </SPAN>"
chhi1245,Chintang,chhi1245,Chintang,ctn,Eurasia,26.947628,87.211189,Sino-Tibetan,Robert Schikowski and Balthasar Bickel and Netra Prasād Paudyāl,Asia,
east2283,Eastern Armenian (standard Eastern Armenian),east2283,,hye,,40.0,45.0,,Victoria Khurshudian and Michael Daniel,Europe (and Indo-European),
emai1241,Emai,emai1241,Emai-Iuleha-Ora,ema,Africa,7.08333333333,5.91666666667,Atlantic-Congo,Ronald Schaefer and Francis Egbokhare,Africa,
stan1293,English,stan1293,English,eng,Eurasia,53.0,-1.0,Indo-European,Cliff Goddard,Europe (and Indo-European),"<SPAN STYLE= """" >In general the task presented by English is different in many ways from that faced by most other contributors, mainly on account of the vast body of existing research on valency patterns on English but also on account of the unparalleled resources available for English, including very large corpora and the English-language internet.</SPAN>"
even1260,Even,even1260,Even,eve,Eurasia,70.67,130.91,Tungusic,Andrej Malchukov,Asia,
even1259,Evenki,even1259,Evenki,evn,Eurasia,56.0,125.0,Tungusic,Igor Nedjalkov,Asia,
