ID,Name,Concepticon_ID,Concepticon_Gloss,typical_context,role_frame,meaning_list,label_for_url
appear,APPEAR,1076,EMERGE (APPEAR),A bear appeared.,S appears,Old meaning,appear
ask-a-question,ASK (a question),1309,ASK (INQUIRE),She asked me a difficult question,A asks R Q,New meaning,ask-a-question
ask-about,ASK (about),,,The man asked the women about a place to rent.,X asks Y about Z,New meaning,ask-about
ask-for,ASK FOR,1828,ASK (REQUEST),The boy asked his parents for money.,A asks (X) for Y,Core list,ask-for
assassinate,ASSASSINATE,,,The sniper assassinated the politician.,A assassinates P,New meaning,assassinate
be-a-dress,BE A DRESS,,,This piece of cloth is actually a dress.,X is a dress,New meaning,be-a-dress
be-a-hunter,BE A HUNTER,1053,HUNTER,This man is a hunter.,S is a hunter,Core list,be-a-hunter
be-bright,BE BRIGHT,679,BRIGHT,The light is bright.,S is bright,New meaning,be-bright
be-burdened,BE BURDENED,,,The man is burdened with a problem.,A is burdened with P,New meaning,be-burdened
be-cold,BE COLD,1287,COLD,The water is cold.,X is cold,New meaning,be-cold
be-dry,BE DRY,1398,DRY,The ground is dry.,S is dry,Core list,be-dry
be-far-from-the-truth,BE FAR FROM THE TRUTH,,,His reasoning is far from the truth.,A is far from the truth,New meaning,be-far-from-the-truth
be-glad,BE GLAD,2192,REJOICE,The woman is glad.,A is glad.,New meaning,be-glad
be-hungry,BE HUNGRY,1533,BE HUNGRY,The baby is hungry.,E is hungry,Core list,be-hungry
be-ill,BE ILL,1847,SICK,The little boy is sick.,S is sick,Old meaning,be-ill
be-named,BE NAMED,,,The man was named Peter.,S is named X,New meaning,be-named
be-needed,BE NEEDED,2339,NEED (SOMETHING),This is severely needed.,S is needed,New meaning,be-needed
be-sad,BE SAD,699,SAD,The little girl was sad.,E is sad,Core list,be-sad
be-sad-about,BE SAD ABOUT,,,The man is sad about his loss.,E is sad about S,New meaning,be-sad-about
beat,BEAT,1665,BEAT,The boy beat the snake with a stick.,A beats P (with I),Core list,beat
blink,BLINK,1655,BLINK,I blinked (my eyes).,S blinks,Core list,blink
boil,BOIL,792,BOIL (OF LIQUID),The water is boiling.,S boils,Extended list,boil
boil-tr,BOIL (tr),2492,BOIL (SOMETHING),The cook boiled the potatoes.,A boils P,New meaning,boil-tr
break,BREAK,2558,BREAK (CLEAVE),The boy broke the window with a stone.,A breaks P (with I),Core list,break
bring,BRING,692,BRING,The girl brought flowers to me.,A brings T to R,Extended list,bring
build,BUILD,1840,BUILD,The men built a house out of wood.,A builds P (out of X),Core list,build
burn,BURN,1428,BURNING,The house is burning.,S burns,Core list,burn
burn-tr,BURN (tr),2102,BURN,The boy burnt his report card.,A burns P,New meaning,burn-tr
call,CALL,1084,CALL,The man called his girlfriend.,A calls P,New meaning,call
capsize,CAPSIZE,,,The boat capsizes.,S capsizes,New meaning,capsize
carry,CARRY,700,CARRY,The men carried the boxes to the market.,A carries T (to X),Core list,carry
chase,CHASE,,,The boy chased the racoon from the house.,X chases Y (from somewhere),New meaning,chase
clean,CLEAN,2235,CLEAN (SOMETHING),The girl cleaned the floor.,A cleans P,New meaning,clean
climb,CLIMB,1102,CLIMB,The men climbed (up) the tree.,A climbs (up L),Core list,climb
close,CLOSE,1046,SHUT,Then man closes the door.,A closes P,New meaning,close
come,COME,1446,COME,The boy came (to the village).,A comes (to L),New meaning,come
come-1,COME (1),,,The boy came.,S comes,Old meaning,come-1
come-2,COME (2),,,The boy came to/from the village.,A comes (from/to L),New meaning,come-2
cook,COOK,1100,COOK (SOMETHING),The women cooked the meat.,A cooks P,Extended list,cook
cough,COUGH,879,COUGH,The old man coughed.,S coughs,Core list,cough
cough-at,COUGH AT,,,The man choughed at my face.,A coughs at P,New meaning,cough-at
cover,COVER,761,COVER,The woman covered the boy with a blanket.,A covers P (with X),Core list,cover
cram,CRAM,,,The boy crammed peanuts into his mouth.,X crams Y into Z,New meaning,cram
cross,CROSS,,,The boys crossed the road.,X crosses Y,New meaning,cross
cry,CRY,1839,CRY,The baby is crying.,S cries,Old meaning,cry
cry-about,CRY ABOUT,,,The woman cries about her loss.,A cries about X,New meaning,cry-about
cut,CUT,2156,CUT (WITH KNIFE),The woman cut the bread with a sharp knife.,A cuts P (with I),Core list,cut
deserve,DESERVE,,,The woman deserves credit.,A deserves P,New meaning,deserve
die,DIE,1494,DIE,The snake died.,S dies,Core list,die
dig,DIG,1418,DIG,The woman is digging for potatoes.,A digs (for X),Extended list,dig
do,DO,813,DO,The man did his work.,X does Y,New meaning,do
dream,DREAM,1920,DREAM (SOMETHING),The woman was dreaming.,E dreams,New meaning,dream
dress,DRESS,,,The mother dressed her daughter,A dresses P,Core list,dress
drink,DRINK,1401,DRINK,The man drank strong coffee.,X drinks Y,New meaning,drink
drive-out,DRIVE OUT,,,The man drove out his boat.,A drives P out,New meaning,drive-out
drop,DROP,2866,DROP (SOMETHING),The girl dropped the cup.,A drops P,New meaning,drop
drown,DROWN,1904,DROWN,The man drowned in a river.,S drowns,New meaning,drown
dry,DRY,1786,DRY UP,The sun has dried out the ground.,A dries P,New meaning,dry
eat,EAT,1336,EAT,The boy ate the fruit.,A eats P,Core list,eat
enter,ENTER,749,ENTER,The man entered (the house).,X enters somewhere,New meaning,enter
fall,FALL,1280,FALL,The horse fell.,S falls,Old meaning,fall
fear,FEAR,1419,FEAR (BE AFRAID),The man feared the bear.,E fears M,Core list,fear
feel-cold,FEEL COLD,,,I'm cold.,S is cold,Core list,feel-cold
feel-pain,FEEL PAIN,2561,HURT (SENSE PAIN),My arm is hurting. =I'm feeling pain in my arm.,E feels pain in M,Core list,feel-pain
feel-sick,FEEL SICK,,,The boy felt sick.,E feels sick,New meaning,feel-sick
feel-sleepy,FEEL SLEEPY,3620,SLEEPY,The baby is sleepy.,E feels sleepy,New meaning,feel-sleepy
fell,FELL,355,CUT DOWN,The men felled the tree.,A fells P,New meaning,fell
fill,FILL,2006,FILL,The girl filled the glass with water.,A fills P (with X),Core list,fill
follow,FOLLOW,1085,FOLLOW,The boys followed the girls.,A follows X,Core list,follow
frighten,FRIGHTEN,252,FRIGHTEN,The bear frightened the man.,A frightens P,Core list,frighten
get,GET,694,GET,The man got a letter from his friend.,R gets T (from X),Old meaning,get
get-obtain,GET (= obtain),,,The girl got a car.,A gets P,New meaning,get-obtain
