ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Original_Orthography,Translation_Other,Number,Example_Type,Source,Form_IDs
even-104,even,Hurker knigalbu bömette.,hurke-r\tkniga-l-bu\tbö-met-te,boy-PL\tbook-PL-ACC\tgive-REC-AOR.3PL,The boys gave books to each otherr.,,,,,104,,,even-give-1
even-103,even,Hurker ietmette.,hurke-r\tiet-met-te,boy-PL\thit-REC-AOR.3PL,The boys hit each other (in a fight).,,,,,103,,,even-hit-1
even-102,even,Kuŋa iasali nimruŋčin.,kuŋa\tiasa-l-i\tnimruŋ-či-n,child\teye-PL-REFL.POSS.SG\tblink-RES-AOR.3SG,The child keeps his eyes shut.,,,,,102,,,even-blink-1
even-101,even,Kuŋal eviniker turkila inumatkarar.,kuŋa-l\tevi-nike-r\tturki-la\tin-u-mat-kara-r,child-PL\tplay-CONV-PL\tsledge-LOC\tload-TR-REC-ITER-AOR.3PL,The children put each other on the sledge while playing.,,,,,101,,,even-load-1
even-100,even,Asi kuŋaŋi tikewren.,asi\tkuŋa-ŋ-i\ttik-ew-re-n,woman\tchild-ALIEN-REFL.POSS.SG\tfall-AD-AOR-3SG,The woman let the child fall \dropped the child.,,,,,100,,,even-fall-1
even-99,even,Etiken giaj kökewren.,etiken\tgia-j\tköke-w-re-n,old_man\tfriend-REFL.POSS\tdie-AD-AOR-3SG,The old man's friend died on him. \The friend died; the old man is negatively afected.,,"<SPAN STYLE= """" >Here the reflexive-posssessive form gia-j is in the direct object position.</SPAN>",,,99,,,even-die-1
even-98,even,Bej hiemkeŋčin.,bej\thiemkeŋ-či-n,man\tcough-RES-AOR.3SG,The man coughs.,,"<SPAN STYLE= """" >The resultative form has multiplicative (pluractional) meaning with some verbs, including this one.</SPAN>",,,98,,,even-cough-1
even-97,even,Kuŋal (eviniker) ŋalmatta.,kuŋa-l\tevini-ke-r\tŋal-mat-ta,child-PL\tplay-CONV-PL\tcarry-REC-AOR.3PL,The children carried each other (while playing).,,,,,97,,,even-carry-1
even-96,even,Asi ike-n.,asi\tike-n,woman\tsing-AOR.3SG,The woman sings.,,,,,96,Elicited from speaker,,even-sing-1
even-95,even,Oron ön'etten.,oron\tön'e-t-te-n,reindeer\ttie-RES-AOR-3SG,The reindeer is tied.,,,,,95,Elicited from speaker,,even-tie-1
even-94,even,Asi časkav öken' milteremkenni.,asi\tčaska-v\töke-n'\tmiltere-mken-ni,woman\tcup-ACC\tmilk-INSTR\tfill(CAUS)-AOR-3SG,The woman filled the cup with milk.,,,,,94,Elicited from speaker,,even-fill-1
even-93,even,Nakat kuŋav ŋelukenni.,nakat\tkuŋa-v\tŋel-uken-ni,bear\tchild-ACC\tbe_afraid-CAUS-AOR.3SG,The bear frightened the child.,,,,,93,Elicited from speaker,,even-frighten-1
even-92,even,Hi minu malgacinri?,hi\tmin-u\tmalga-ci-nri,2SG\t1SG-ACC\tthink-RES-AOR.2SG,You think about me?,,,,,92,Elicited from speaker,,even-think-1
even-91,even,Nakat beju ŋosuttan.,nakat\tbej-u\tŋosut-ta-n,bear\tman-ACC\tsmell-AOR-3SG,The bear smelled the man.,,,,,91,Elicited from speaker,,even-smell-1
even-90,even,Asi kuŋav kemnin.,asi\tkuŋa-v\tkemni-n,woman\tchild-ACC\thug-AOR.3SG,The woman hugged her child.,,,,,90,Elicited from speaker,,even-hug-1
even-89,even,Kuŋa tik-re-n.,kuŋa\ttik-re-n,child\tfall-AOR-3SG,The child fell.,,,,,89,Elicited from speaker,,even-fall-1
