ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,verb_type,original_script,simplex_or_complex,Basic_Coding_Frame_ID
even-cover-1,,even,cover,das-,das-,,"<SPAN STYLE= """" >Also a denominal verb can be used instead: e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >hulra-la-</SPAN><SPAN STYLE= """" > &lsquo;cover with a blanket&rsquo; (cf. </SPAN><SPAN STYLE= ""font-style:italic;"" >hulra</SPAN><SPAN STYLE= """" > &lsquo;blanket&rsquo;)</SPAN>",,,,,,,,Simplex,4868002621
even-fill-1,,even,fill,miltere-mken-,miltere-mken-,,"<SPAN STYLE= ""font-style:italic;"" >miltere-mken-</SPAN><SPAN STYLE= """" > &lsquo;fill&rsquo; is a causative form of </SPAN><SPAN STYLE= ""font-style:italic;"" >milteren</SPAN><SPAN STYLE= """" >- &lsquo;be full&rsquo;; </SPAN><SPAN STYLE= ""font-style:italic;"" >dov</SPAN><SPAN STYLE= """" >- &lsquo;load, fill, charge&rsquo;.</SPAN>",,,,,,,,Complex,4868002621
even-load-1,,even,load,in-u-,in-u-,,"<SPAN STYLE= ""font-style:italic;"" >in-u- </SPAN><SPAN STYLE= """" >&lsquo;load (on sb./sth.)&rsquo; is a nonproductive causative from </SPAN><SPAN STYLE= ""font-style:italic;"" >in</SPAN><SPAN STYLE= """" >- &lsquo;carry on one&rsquo;s back (of a man, reindeer, etc.)&rsquo;.</SPAN>",,,,,,,,Complex,4868175860
even-tie-1,,even,tie,ön’e-,ön’e-,,"<SPAN STYLE= """" >Also: </SPAN><SPAN STYLE= ""font-style:italic;"" >ut-</SPAN><SPAN STYLE= """" >.<BR>Locational argument can be omitted, but counts as an argument by relatiivization test. </SPAN>",,,,,,,,Simplex,4868175860
even-pour-1,,even,pour,öŋke-,öŋke-,,,,,,,,,,Simplex,4868175860
even-put-1,,even,put,ne-,ne-,,"<SPAN STYLE= """" >The location in locative case but can also be in the dative case. The locative adverbs would also appear in the locative form.</SPAN>",,,,,,,,Simplex,4868175860
even-throw-1,,even,throw,ule-,ule-,,"<SPAN STYLE= """" >Also can be rendered by derived verbs with &ldquo;instrument incorporation&rdquo;: </SPAN><SPAN STYLE= ""font-style:italic;"" >d&rsquo;ol-da-</SPAN><SPAN STYLE= """" > &lsquo;throw (with) a stone&rsquo; (cf. </SPAN><SPAN STYLE= ""font-style:italic;"" >d&rsquo;ol</SPAN><SPAN STYLE= """" > &lsquo;stone&rsquo;), </SPAN><SPAN STYLE= ""font-style:italic;"" >mavut-la-</SPAN><SPAN STYLE= """" > &lsquo;throw a lasso&rsquo; (cf. </SPAN><SPAN STYLE= ""font-style:italic;"" >mavut </SPAN><SPAN STYLE= """" >&lsquo;lasso&rsquo;), etc.</SPAN>",,,,,,,,Simplex,4868175860
even-bring-1,,even,bring,em-u-,em-u-,,"<SPAN STYLE= """" >A nonproductive causative form from </SPAN><SPAN STYLE= ""font-style:italic;"" >em-</SPAN><SPAN STYLE= """" > 'come'.</SPAN>",,,,,,,,Complex,4867985804
even-carry-1,,even,carry,ŋal-,ŋal-,,"<SPAN STYLE= ""font-family: 'Tahoma';font-style:italic;"" >&#331;</SPAN><SPAN STYLE= ""font-style:italic;"" >al-</SPAN><SPAN STYLE= """" > means 'carry in the hands' (from</SPAN><SPAN STYLE= ""font-style:italic;"" > </SPAN><SPAN STYLE= ""font-family: 'Tahoma';font-style:italic;"" >&#331;</SPAN><SPAN STYLE= ""font-style:italic;"" >al</SPAN><SPAN STYLE= """" > 'hand'). There is a more general verb for the similar meaning: </SPAN><SPAN STYLE= ""font-style:italic;"" >d&rsquo;ugu-</SPAN><SPAN STYLE= """" > 'transport'.</SPAN>",,,,,,,,Simplex,4868175860
even-send-1,,even,send,hör-u-,hör-u-,,"<SPAN STYLE= """" >This is an unproductive causative form of </SPAN><SPAN STYLE= ""font-style:italic;"" >h&ouml;r-</SPAN><SPAN STYLE= """" > 'go; leave'.</SPAN>",,,,,,,,Complex,4868175860
